code	isolate	temp_C	replicate	axis	dpi	col_diam_mm	
Dm13.15.1.1	Dm13	15	1	1	1	15.28	
Dm13.15.1.2	Dm13	15	1	2	1	16.95	
Et12.15.1.1	Et12	15	1	1	1	17.69	
Et12.15.1.2	Et12	15	1	2	1	17.69	
Et14.15.1.1	Et14	15	1	1	1	14.55	
Et14.15.1.2	Et14	15	1	2	1	14.47	
Et17.15.1.1	Et17	15	1	1	1	14.47	
Et17.15.1.2	Et17	15	1	2	1	15.54	
Et18.15.1.1	Et18	15	1	1	1	15.44	
Et18.15.1.2	Et18	15	1	2	1	15.48	
IN12-4.15.1.1	IN12-4	15	1	1	1	15.57	
IN12-4.15.1.2	IN12-4	15	1	2	1	13.54	
IN12-8-3.15.1.1	IN12-8-3	15	1	1	1	16.76	
IN12-8-3.15.1.2	IN12-8-3	15	1	2	1	15.99	
IN12-9-4.15.1.1	IN12-9-4	15	1	1	1	14.74	
IN12-9-4.15.1.2	IN12-9-4	15	1	2	1	14.07	
IN12-9-6.15.1.1	IN12-9-6	15	1	1	1	13.12	
IN12-9-6.15.1.2	IN12-9-6	15	1	2	1	13.56	
IN12-PO-3.15.1.1	IN12-PO-3	15	1	1	1	14.5	
IN12-PO-3.15.1.2	IN12-PO-3	15	1	2	1	13.79	
Md10.15.1.1	Md10	15	1	1	1	15.26	
Md10.15.1.2	Md10	15	1	2	1	15.26	
Md3.15.1.1	Md3	15	1	1	1	12.69	
Md3.15.1.2	Md3	15	1	2	1	12.86	
Md5.15.1.1	Md5	15	1	1	1	13.77	
Md5.15.1.2	Md5	15	1	2	1	12.68	
Md6.15.1.1	Md6	15	1	1	1	12.65	
Md6.15.1.2	Md6	15	1	2	1	12.47	
Md7.15.1.1	Md7	15	1	1	1	12.34	
Md7.15.1.2	Md7	15	1	2	1	12.67	
MP144.15.1.1	MP144	15	1	1	1	14.3	
MP144.15.1.2	MP144	15	1	2	1	14.3	
MP220.15.1.1	MP220	15	1	1	1	12.34	
MP220.15.1.2	MP220	15	1	2	1	12.35	
MP223.15.1.1	MP223	15	1	1	1	13.48	
MP223.15.1.2	MP223	15	1	2	1	12.59	
MP249.15.1.1	MP249	15	1	1	1	12.21	
MP249.15.1.2	MP249	15	1	2	1	11.84	
MP250.15.1.1	MP250	15	1	1	1	12.06	
MP250.15.1.2	MP250	15	1	2	1	12.04	
MP258.15.1.1	MP258	15	1	1	1	10.97	
MP258.15.1.2	MP258	15	1	2	1	11.39	
TN262.15.1.1	TN262	15	1	1	1	11.09	
TN262.15.1.2	TN262	15	1	2	1	11.41	
TN264.15.1.1	TN264	15	1	1	1	12.53	
TN264.15.1.2	TN264	15	1	2	1	11.61	
TN270.15.1.1	TN270	15	1	1	1	10.1	
TN270.15.1.2	TN270	15	1	2	1	10.33	
TN279.15.1.1	TN279	15	1	1	1	9.52	
TN279.15.1.2	TN279	15	1	2	1	8.76	
TN280.15.1.1	TN280	15	1	1	1	11	
TN280.15.1.2	TN280	15	1	2	1	11	
TN380.15.1.1	TN380	15	1	1	1	9.23	
TN380.15.1.2	TN380	15	1	2	1	9.9	
TN4.15.1.1	TN4	15	1	1	1	7.36	
TN4.15.1.2	TN4	15	1	2	1	7.36	
TN501.15.1.1	TN501	15	1	1	1	10.21	
TN501.15.1.2	TN501	15	1	2	1	9.04	
TN550.15.1.1	TN550	15	1	1	1	8.69	
TN550.15.1.2	TN550	15	1	2	1	9	
W12-6.15.1.1	W12-6	15	1	1	1	9.14	
W12-6.15.1.2	W12-6	15	1	2	1	9.1	
W23.15.1.1	W23	15	1	1	1	8.69	
W23.15.1.2	W23	15	1	2	1	9.39	
W3-5.15.1.1	W3-5	15	1	1	1	8.13	
W3-5.15.1.2	W3-5	15	1	2	1	7.99	
Dm13.15.2.1	Dm13	15	2	1	1	14.29	
Dm13.15.2.2	Dm13	15	2	2	1	14.29	
Et12.15.2.1	Et12	15	2	1	1	18.07	
Et12.15.2.2	Et12	15	2	2	1	18.07	
Et14.15.2.1	Et14	15	2	1	1	16.33	
Et14.15.2.2	Et14	15	2	2	1	14.89	
Et17.15.2.1	Et17	15	2	1	1	15.38	
Et17.15.2.2	Et17	15	2	2	1	14.74	
Et18.15.2.1	Et18	15	2	1	1	15.61	
Et18.15.2.2	Et18	15	2	2	1	15.71	
IN12-4.15.2.1	IN12-4	15	2	1	1	14.04	
IN12-4.15.2.2	IN12-4	15	2	2	1	14.19	
IN12-8-3.15.2.1	IN12-8-3	15	2	1	1	16.3	
IN12-8-3.15.2.2	IN12-8-3	15	2	2	1	17.51	
IN12-9-4.15.2.1	IN12-9-4	15	2	1	1	15.7	
IN12-9-4.15.2.2	IN12-9-4	15	2	2	1	14.82	
