code	isolate	temp_C	replicate	axis	dpi	col_diam_mm_corr
Dm13.15.1.1	Dm13	15	1	1	1	9.28
Dm13.15.1.2	Dm13	15	1	2	1	10.95
Et12.15.1.1	Et12	15	1	1	1	11.69
Et12.15.1.2	Et12	15	1	2	1	11.69
Et14.15.1.1	Et14	15	1	1	1	8.55
Et14.15.1.2	Et14	15	1	2	1	8.47
Et17.15.1.1	Et17	15	1	1	1	8.47
Et17.15.1.2	Et17	15	1	2	1	9.54
Et18.15.1.1	Et18	15	1	1	1	9.44
Et18.15.1.2	Et18	15	1	2	1	9.48
IN12-4.15.1.1	IN12-4	15	1	1	1	9.57
IN12-4.15.1.2	IN12-4	15	1	2	1	7.54
IN12-8-3.15.1.1	IN12-8-3	15	1	1	1	10.76
IN12-8-3.15.1.2	IN12-8-3	15	1	2	1	9.99
IN12-9-4.15.1.1	IN12-9-4	15	1	1	1	8.74
IN12-9-4.15.1.2	IN12-9-4	15	1	2	1	8.07
IN12-9-6.15.1.1	IN12-9-6	15	1	1	1	7.12
IN12-9-6.15.1.2	IN12-9-6	15	1	2	1	7.56
IN12-PO-3.15.1.1	IN12-PO-3	15	1	1	1	8.5
IN12-PO-3.15.1.2	IN12-PO-3	15	1	2	1	7.79
Md10.15.1.1	Md10	15	1	1	1	9.26
Md10.15.1.2	Md10	15	1	2	1	9.26
Md3.15.1.1	Md3	15	1	1	1	6.69
Md3.15.1.2	Md3	15	1	2	1	6.86
Md5.15.1.1	Md5	15	1	1	1	7.77
Md5.15.1.2	Md5	15	1	2	1	6.68
Md6.15.1.1	Md6	15	1	1	1	6.65
Md6.15.1.2	Md6	15	1	2	1	6.47
Md7.15.1.1	Md7	15	1	1	1	6.34
Md7.15.1.2	Md7	15	1	2	1	6.67
MP144.15.1.1	MP144	15	1	1	1	8.3
MP144.15.1.2	MP144	15	1	2	1	8.3
MP220.15.1.1	MP220	15	1	1	1	6.34
MP220.15.1.2	MP220	15	1	2	1	6.35
MP223.15.1.1	MP223	15	1	1	1	7.48
MP223.15.1.2	MP223	15	1	2	1	6.59
MP249.15.1.1	MP249	15	1	1	1	6.21
MP249.15.1.2	MP249	15	1	2	1	5.84
MP250.15.1.1	MP250	15	1	1	1	6.06
MP250.15.1.2	MP250	15	1	2	1	6.04
MP258.15.1.1	MP258	15	1	1	1	4.97
MP258.15.1.2	MP258	15	1	2	1	5.39
TN262.15.1.1	TN262	15	1	1	1	5.09
TN262.15.1.2	TN262	15	1	2	1	5.41
TN264.15.1.1	TN264	15	1	1	1	6.53
TN264.15.1.2	TN264	15	1	2	1	5.61
TN270.15.1.1	TN270	15	1	1	1	4.1
TN270.15.1.2	TN270	15	1	2	1	4.33
TN279.15.1.1	TN279	15	1	1	1	3.52
TN279.15.1.2	TN279	15	1	2	1	2.76
TN280.15.1.1	TN280	15	1	1	1	5
TN280.15.1.2	TN280	15	1	2	1	5
TN380.15.1.1	TN380	15	1	1	1	3.23
TN380.15.1.2	TN380	15	1	2	1	3.9
TN4.15.1.1	TN4	15	1	1	1	1.36
TN4.15.1.2	TN4	15	1	2	1	1.36
TN501.15.1.1	TN501	15	1	1	1	4.21
TN501.15.1.2	TN501	15	1	2	1	3.04
TN550.15.1.1	TN550	15	1	1	1	2.69
TN550.15.1.2	TN550	15	1	2	1	3
W12-6.15.1.1	W12-6	15	1	1	1	3.14
W12-6.15.1.2	W12-6	15	1	2	1	3.1
W23.15.1.1	W23	15	1	1	1	2.69
W23.15.1.2	W23	15	1	2	1	3.39
W3-5.15.1.1	W3-5	15	1	1	1	2.13
W3-5.15.1.2	W3-5	15	1	2	1	1.99
Dm13.15.2.1	Dm13	15	2	1	1	8.29
Dm13.15.2.2	Dm13	15	2	2	1	8.29
