code,isolate,temp_C,replicate,axis,hpi,hpi_corr,col_diam_mm_corr,region
Dm13.15.1.1,Dm13,15,1,1,23,31,9.28,north
Dm13.15.1.2,Dm13,15,1,2,23,31,10.95,north
Et12.15.1.1,Et12,15,1,1,23,30.75,11.69,north
Et12.15.1.2,Et12,15,1,2,23,30.75,11.69,north
Et14.15.1.1,Et14,15,1,1,23,30.5,8.55,north
Et14.15.1.2,Et14,15,1,2,23,30.5,8.47,north
Et17.15.1.1,Et17,15,1,1,23,30.25,8.47,north
Et17.15.1.2,Et17,15,1,2,23,30.25,9.54,north
Et18.15.1.1,Et18,15,1,1,23,30,9.44,north
Et18.15.1.2,Et18,15,1,2,23,30,9.48,north
IN12-4.15.1.1,IN12-4,15,1,1,23,29.75,9.57,north
IN12-4.15.1.2,IN12-4,15,1,2,23,29.75,7.54,north
IN12-8-3.15.1.1,IN12-8-3,15,1,1,23,29.5,10.76,north
IN12-8-3.15.1.2,IN12-8-3,15,1,2,23,29.5,9.99,north
IN12-9-4.15.1.1,IN12-9-4,15,1,1,23,29.25,8.74,north
IN12-9-4.15.1.2,IN12-9-4,15,1,2,23,29.25,8.07,north
IN12-9-6.15.1.1,IN12-9-6,15,1,1,23,29,7.12,north
IN12-9-6.15.1.2,IN12-9-6,15,1,2,23,29,7.56,north
IN12-PO-3.15.1.1,IN12-PO-3,15,1,1,23,28.75,8.5,north
IN12-PO-3.15.1.2,IN12-PO-3,15,1,2,23,28.75,7.79,north
Md10.15.1.1,Md10,15,1,1,23,28.5,9.26,north
Md10.15.1.2,Md10,15,1,2,23,28.5,9.26,north
Md3.15.1.1,Md3,15,1,1,23,28.25,6.69,north
Md3.15.1.2,Md3,15,1,2,23,28.25,6.86,north
Md5.15.1.1,Md5,15,1,1,23,28,7.77,north
Md5.15.1.2,Md5,15,1,2,23,28,6.68,north
Md6.15.1.1,Md6,15,1,1,23,27.75,6.65,north
Md6.15.1.2,Md6,15,1,2,23,27.75,6.47,north
Md7.15.1.1,Md7,15,1,1,23,27.5,6.34,north
Md7.15.1.2,Md7,15,1,2,23,27.5,6.67,north
MP144.15.1.1,MP144,15,1,1,23,27.25,8.3,south
MP144.15.1.2,MP144,15,1,2,23,27.25,8.3,south
MP220.15.1.1,MP220,15,1,1,23,27,6.34,south
MP220.15.1.2,MP220,15,1,2,23,27,6.35,south
MP223.15.1.1,MP223,15,1,1,23,26.75,7.48,south
MP223.15.1.2,MP223,15,1,2,23,26.75,6.59,south
MP249.15.1.1,MP249,15,1,1,23,26.5,6.21,south
MP249.15.1.2,MP249,15,1,2,23,26.5,5.84,south
MP250.15.1.1,MP250,15,1,1,23,26.25,6.06,south
MP250.15.1.2,MP250,15,1,2,23,26.25,6.04,south
MP258.15.1.1,MP258,15,1,1,23,26,4.97,south
MP258.15.1.2,MP258,15,1,2,23,26,5.39,south
TN262.15.1.1,TN262,15,1,1,23,25.75,5.09,south
TN262.15.1.2,TN262,15,1,2,23,25.75,5.41,south
TN264.15.1.1,TN264,15,1,1,23,25.5,6.53,south
TN264.15.1.2,TN264,15,1,2,23,25.5,5.61,south
TN270.15.1.1,TN270,15,1,1,23,25.25,4.1,south
TN270.15.1.2,TN270,15,1,2,23,25.25,4.33,south
TN279.15.1.1,TN279,15,1,1,23,25,3.52,south
TN279.15.1.2,TN279,15,1,2,23,25,2.76,south
TN280.15.1.1,TN280,15,1,1,23,24.75,5,south
TN280.15.1.2,TN280,15,1,2,23,24.75,5,south
TN380.15.1.1,TN380,15,1,1,23,24.5,3.23,south
TN380.15.1.2,TN380,15,1,2,23,24.5,3.9,south
TN4.15.1.1,TN4,15,1,1,23,23,1.36,south
TN4.15.1.2,TN4,15,1,2,23,23,1.36,south
TN501.15.1.1,TN501,15,1,1,23,24.25,4.21,south
TN501.15.1.2,TN501,15,1,2,23,24.25,3.04,south
TN550.15.1.1,TN550,15,1,1,23,24,2.69,south
TN550.15.1.2,TN550,15,1,2,23,24,3,south
W12-6.15.1.1,W12-6,15,1,1,23,23.75,3.14,north
W12-6.15.1.2,W12-6,15,1,2,23,23.75,3.1,north
W23.15.1.1,W23,15,1,1,23,23.5,2.69,north
W23.15.1.2,W23,15,1,2,23,23.5,3.39,north
W3-5.15.1.1,W3-5,15,1,1,23,23.25,2.13,north
W3-5.15.1.2,W3-5,15,1,2,23,23.25,1.99,north
Dm13.15.2.1,Dm13,15,2,1,23,31,8.29,north
Dm13.15.2.2,Dm13,15,2,2,23,31,8.29,north
Et12.15.2.1,Et12,15,2,1,23,30.75,12.07,north
Et12.15.2.2,Et12,15,2,2,23,30.75,12.07,north
Et14.15.2.1,Et14,15,2,1,23,30.5,10.33,north
Et14.15.2.2,Et14,15,2,2,23,30.5,8.89,north
Et17.15.2.1,Et17,15,2,1,23,30.25,9.38,north
Et17.15.2.2,Et17,15,2,2,23,30.25,8.74,north
Et18.15.2.1,Et18,15,2,1,23,30,9.61,north
Et18.15.2.2,Et18,15,2,2,23,30,9.71,north
IN12-4.15.2.1,IN12-4,15,2,1,23,29.75,8.04,north
IN12-4.15.2.2,IN12-4,15,2,2,23,29.75,8.19,north
IN12-8-3.15.2.1,IN12-8-3,15,2,1,23,29.5,10.3,north
IN12-8-3.15.2.2,IN12-8-3,15,2,2,23,29.5,11.51,north
IN12-9-4.15.2.1,IN12-9-4,15,2,1,23,29.25,9.7,north
IN12-9-4.15.2.2,IN12-9-4,15,2,2,23,29.25,8.82,north
IN12-9-6.15.2.1,IN12-9-6,15,2,1,23,29,8.91,north
IN12-9-6.15.2.2,IN12-9-6,15,2,2,23,29,7.53,north
IN12-PO-3.15.2.1,IN12-PO-3,15,2,1,23,28.75,8.89,north
IN12-PO-3.15.2.2,IN12-PO-3,15,2,2,23,28.75,8.33,north
Md10.15.2.1,Md10,15,2,1,23,28.5,9.62,north
Md10.15.2.2,Md10,15,2,2,23,28.5,9.95,north
Md3.15.2.1,Md3,15,2,1,23,28.25,9.24,north
Md3.15.2.2,Md3,15,2,2,23,28.25,8.03,north
Md5.15.2.1,Md5,15,2,1,23,28,8.64,north
Md5.15.2.2,Md5,15,2,2,23,28,8.14,north
Md6.15.2.1,Md6,15,2,1,23,27.75,7.01,north
Md6.15.2.2,Md6,15,2,2,23,27.75,6.71,north
Md7.15.2.1,Md7,15,2,1,23,27.5,6.7,north
Md7.15.2.2,Md7,15,2,2,23,27.5,6.57,north
MP144.15.2.1,MP144,15,2,1,23,27.25,8.33,south
MP144.15.2.2,MP144,15,2,2,23,27.25,8.34,south
MP220.15.2.1,MP220,15,2,1,23,27,6.48,south
MP220.15.2.2,MP220,15,2,2,23,27,5.61,south
MP223.15.2.1,MP223,15,2,1,23,26.75,7.54,south
MP223.15.2.2,MP223,15,2,2,23,26.75,7.57,south
MP249.15.2.1,MP249,15,2,1,23,26.5,6.26,south
MP249.15.2.2,MP249,15,2,2,23,26.5,5.64,south
MP250.15.2.1,MP250,15,2,1,23,26.25,6.2,south
MP250.15.2.2,MP250,15,2,2,23,26.25,5.64,south
MP258.15.2.1,MP258,15,2,1,23,26,5.14,south
MP258.15.2.2,MP258,15,2,2,23,26,5.14,south
TN262.15.2.1,TN262,15,2,1,23,25.75,5.75,south
TN262.15.2.2,TN262,15,2,2,23,25.75,5.62,south
TN264.15.2.1,TN264,15,2,1,23,25.5,7.46,south
TN264.15.2.2,TN264,15,2,2,23,25.5,5.9,south
TN270.15.2.1,TN270,15,2,1,23,25.25,4.9,south
TN270.15.2.2,TN270,15,2,2,23,25.25,4.9,south
TN279.15.2.1,TN279,15,2,1,23,25,3.74,south
TN279.15.2.2,TN279,15,2,2,23,25,2.83,south
TN280.15.2.1,TN280,15,2,1,23,24.75,4.62,south
TN280.15.2.2,TN280,15,2,2,23,24.75,4.98,south
TN380.15.2.1,TN380,15,2,1,23,24.5,2.96,south
TN380.15.2.2,TN380,15,2,2,23,24.5,2.96,south
TN4.15.2.1,TN4,15,2,1,23,23,1.02,south
TN4.15.2.2,TN4,15,2,2,23,23,1.02,south
TN501.15.2.1,TN501,15,2,1,23,24.25,4.01,south
TN501.15.2.2,TN501,15,2,2,23,24.25,4.01,south
TN550.15.2.1,TN550,15,2,1,23,24,3.34,south
TN550.15.2.2,TN550,15,2,2,23,24,2.97,south
W12-6.15.2.1,W12-6,15,2,1,23,23.75,3.05,north
W12-6.15.2.2,W12-6,15,2,2,23,23.75,3.19,north
W23.15.2.1,W23,15,2,1,23,23.5,2.36,north
