code,isolate,temp_C,replicate,axis,hpi,col_diam_mm,col_diam_mm_corr,region
Dm13.10.1.1,Dm13,10,1,1,24,6,0,north
Dm13.10.1.2,Dm13,10,1,2,24,6,0,north
IN12-8-3.10.1.1,IN12-8-3,10,1,1,24,6,0,north
IN12-8-3.10.1.2,IN12-8-3,10,1,2,24,6,0,north
IN12-9-6.10.1.1,IN12-9-6,10,1,1,24,6,0,north
IN12-9-6.10.1.2,IN12-9-6,10,1,2,24,6,0,north
MP249.10.1.1,MP249,10,1,1,24,6,0,south
MP249.10.1.2,MP249,10,1,2,24,6,0,south
TN270.10.1.1,TN270,10,1,1,24,6,0,south
TN270.10.1.2,TN270,10,1,2,24,6,0,south
TN280.10.1.1,TN280,10,1,1,24,6,0,south
TN280.10.1.2,TN280,10,1,2,24,6,0,south
TN550.10.1.1,TN550,10,1,1,24,6,0,south
TN550.10.1.2,TN550,10,1,2,24,6,0,south
W12-6.10.1.1,W12-6,10,1,1,24,6,0,north
W12-6.10.1.2,W12-6,10,1,2,24,6,0,north
Dm13.10.2.1,Dm13,10,2,1,24,6,0,north
Dm13.10.2.2,Dm13,10,2,2,24,6,0,north
IN12-8-3.10.2.1,IN12-8-3,10,2,1,24,6,0,north
IN12-8-3.10.2.2,IN12-8-3,10,2,2,24,6,0,north
IN12-9-6.10.2.1,IN12-9-6,10,2,1,24,6,0,north
IN12-9-6.10.2.2,IN12-9-6,10,2,2,24,6,0,north
MP249.10.2.1,MP249,10,2,1,24,6,0,south
MP249.10.2.2,MP249,10,2,2,24,6,0,south
TN270.10.2.1,TN270,10,2,1,24,6,0,south
TN270.10.2.2,TN270,10,2,2,24,6,0,south
TN280.10.2.1,TN280,10,2,1,24,6,0,south
TN280.10.2.2,TN280,10,2,2,24,6,0,south
TN550.10.2.1,TN550,10,2,1,24,6,0,south
TN550.10.2.2,TN550,10,2,2,24,6,0,south
W12-6.10.2.1,W12-6,10,2,1,24,6,0,north
W12-6.10.2.2,W12-6,10,2,2,24,6,0,north
Dm13.10.3.1,Dm13,10,3,1,24,6,0,north
Dm13.10.3.2,Dm13,10,3,2,24,6,0,north
IN12-8-3.10.3.1,IN12-8-3,10,3,1,24,6,0,north
IN12-8-3.10.3.2,IN12-8-3,10,3,2,24,6,0,north
IN12-9-6.10.3.1,IN12-9-6,10,3,1,24,6,0,north
IN12-9-6.10.3.2,IN12-9-6,10,3,2,24,6,0,north
MP249.10.3.1,MP249,10,3,1,24,6,0,south
MP249.10.3.2,MP249,10,3,2,24,6,0,south
TN270.10.3.1,TN270,10,3,1,24,6,0,south
TN270.10.3.2,TN270,10,3,2,24,6,0,south
TN280.10.3.1,TN280,10,3,1,24,6,0,south
TN280.10.3.2,TN280,10,3,2,24,6,0,south
TN550.10.3.1,TN550,10,3,1,24,6,0,south
TN550.10.3.2,TN550,10,3,2,24,6,0,south
W12-6.10.3.1,W12-6,10,3,1,24,6,0,north
W12-6.10.3.2,W12-6,10,3,2,24,6,0,north
Dm13.30.1.1,Dm13,30,1,1,24,42.02,36.02,north
Dm13.30.1.2,Dm13,30,1,2,24,41.75,35.75,north
IN12-8-3.30.1.1,IN12-8-3,30,1,1,24,41.03,35.03,north
IN12-8-3.30.1.2,IN12-8-3,30,1,2,24,40.26,34.26,north
IN12-9-6.30.1.1,IN12-9-6,30,1,1,24,34.61,28.61,north
IN12-9-6.30.1.2,IN12-9-6,30,1,2,24,34.08,28.08,north
MP249.30.1.1,MP249,30,1,1,24,36.53,30.53,south
