code,isolate,temp_C,replicate,axis,hpi,col_diam_mm
Dm13.10.1.1,Dm13,10,1,1,24,6
Dm13.10.1.2,Dm13,10,1,2,24,6
IN12-8-3.10.1.1,IN12-8-3,10,1,1,24,6
IN12-8-3.10.1.2,IN12-8-3,10,1,2,24,6
IN12-9-6.10.1.1,IN12-9-6,10,1,1,24,6
IN12-9-6.10.1.2,IN12-9-6,10,1,2,24,6
MP249.10.1.1,MP249,10,1,1,24,6
MP249.10.1.2,MP249,10,1,2,24,6
TN270.10.1.1,TN270,10,1,1,24,6
TN270.10.1.2,TN270,10,1,2,24,6
TN280.10.1.1,TN280,10,1,1,24,6
TN280.10.1.2,TN280,10,1,2,24,6
TN550.10.1.1,TN550,10,1,1,24,6
TN550.10.1.2,TN550,10,1,2,24,6
W12-6.10.1.1,W12-6,10,1,1,24,6
W12-6.10.1.2,W12-6,10,1,2,24,6
Dm13.10.2.1,Dm13,10,2,1,24,6
Dm13.10.2.2,Dm13,10,2,2,24,6
IN12-8-3.10.2.1,IN12-8-3,10,2,1,24,6
IN12-8-3.10.2.2,IN12-8-3,10,2,2,24,6
IN12-9-6.10.2.1,IN12-9-6,10,2,1,24,6
IN12-9-6.10.2.2,IN12-9-6,10,2,2,24,6
MP249.10.2.1,MP249,10,2,1,24,6
MP249.10.2.2,MP249,10,2,2,24,6
TN270.10.2.1,TN270,10,2,1,24,6
TN270.10.2.2,TN270,10,2,2,24,6
TN280.10.2.1,TN280,10,2,1,24,6
TN280.10.2.2,TN280,10,2,2,24,6
TN550.10.2.1,TN550,10,2,1,24,6
TN550.10.2.2,TN550,10,2,2,24,6
W12-6.10.2.1,W12-6,10,2,1,24,6
W12-6.10.2.2,W12-6,10,2,2,24,6
Dm13.10.3.1,Dm13,10,3,1,24,6
Dm13.10.3.2,Dm13,10,3,2,24,6
IN12-8-3.10.3.1,IN12-8-3,10,3,1,24,6
IN12-8-3.10.3.2,IN12-8-3,10,3,2,24,6
IN12-9-6.10.3.1,IN12-9-6,10,3,1,24,6
IN12-9-6.10.3.2,IN12-9-6,10,3,2,24,6
MP249.10.3.1,MP249,10,3,1,24,6
MP249.10.3.2,MP249,10,3,2,24,6
TN270.10.3.1,TN270,10,3,1,24,6
TN270.10.3.2,TN270,10,3,2,24,6
TN280.10.3.1,TN280,10,3,1,24,6
TN280.10.3.2,TN280,10,3,2,24,6
TN550.10.3.1,TN550,10,3,1,24,6
TN550.10.3.2,TN550,10,3,2,24,6
W12-6.10.3.1,W12-6,10,3,1,24,6
